"release_id", "release_date", "action", "file_name"
"r000001","2018-07-19 10:14:29","create","test.sql"
"r000001","2018-07-19 10:14:29","revert","rtest.sql"
"r000002","2018-07-19 10:20:10","create","test001.sql"
"r000002","2018-07-19 10:20:10","revert","rtest001.sql"
"r000003","2018-07-19 10:36:21","create","test.sql"
"r000003","2018-07-19 10:36:21","revert","rtest.sql"
"r000004","2018-07-19 10:37:29","create","test.sql"
"r000004","2018-07-19 10:37:29","revert","rtest.sql"
"r000005","2018-07-19 10:41:49","create","test.sql"
"r000005","2018-07-19 10:41:49","revert","rtest.sql"
"r000006","2018-07-19 10:46:26","create","test.sql"
"r000006","2018-07-19 10:46:26","revert","rtest.sql"
"r000007","2018-07-19 10:53:12","create","test.sql"
"r000007","2018-07-19 10:53:12","revert","rtest.sql"
"r000008","2018-07-19 11:09:30","create","test(1).sql"
"r000008","2018-07-19 11:09:30","create","test(2).sql"
"r000008","2018-07-19 11:09:30","create","test(3).sql"
"r000008","2018-07-19 11:09:30","create","test(4).sql"
"r000008","2018-07-19 11:09:30","create","test(5).sql"
"r000008","2018-07-19 11:09:30","create","test(6).sql"
"r000008","2018-07-19 11:09:30","create","test(7).sql"
"r000008","2018-07-19 11:09:30","create","test(8).sql"
"r000008","2018-07-19 11:09:30","revert","rtest.sql"
"r000009","2018-07-19 11:12:00","create","test(1).sql"
"r000009","2018-07-19 11:12:00","create","test(2).sql"
"r000009","2018-07-19 11:12:00","create","test(3).sql"
"r000009","2018-07-19 11:12:00","create","test(4).sql"
"r000009","2018-07-19 11:12:00","create","test(5).sql"
"r000009","2018-07-19 11:12:00","create","test(6).sql"
"r000009","2018-07-19 11:12:00","create","test(7).sql"
"r000009","2018-07-19 11:12:00","create","test(8).sql"
"r000009","2018-07-19 11:12:00","revert","rtest.sql"
"r000010","2018-07-19 11:18:19","create","test(1).sql"
"r000010","2018-07-19 11:18:19","create","test(2).sql"
"r000010","2018-07-19 11:18:19","create","test(3).sql"
"r000010","2018-07-19 11:18:19","create","test(4).sql"
"r000010","2018-07-19 11:18:19","create","test(5).sql"
"r000010","2018-07-19 11:18:19","create","test(6).sql"
"r000010","2018-07-19 11:18:19","create","test(7).sql"
"r000010","2018-07-19 11:18:19","create","test(8).sql"
"r000010","2018-07-19 11:18:19","revert","rtest.sql"
"r000011","2018-07-19 16:33:11","create","test(1).sql"
"r000011","2018-07-19 16:33:11","create","test(2).sql"
"r000011","2018-07-19 16:33:11","create","test(3).sql"
"r000011","2018-07-19 16:33:11","create","test(4).sql"
"r000011","2018-07-19 16:33:11","create","test(5).sql"
"r000011","2018-07-19 16:33:11","create","test(6).sql"
"r000011","2018-07-19 16:33:11","create","test(7).sql"
"r000011","2018-07-19 16:33:11","create","test(8).sql"
"r000011","2018-07-19 16:33:11","revert","rtest.sql"
"r000012","2018-07-19 16:40:58","create","test(1).sql"
"r000012","2018-07-19 16:40:58","create","test(2).sql"
"r000012","2018-07-19 16:40:58","create","test(3).sql"
"r000012","2018-07-19 16:40:58","create","test(4).sql"
"r000012","2018-07-19 16:40:58","create","test(5).sql"
"r000012","2018-07-19 16:40:58","create","test(6).sql"
"r000012","2018-07-19 16:40:58","create","test(7).sql"
"r000012","2018-07-19 16:40:58","create","test(8).sql"
"r000012","2018-07-19 16:40:58","revert","rtest.sql"
"r000013","2018-07-20 08:42:39","create","test(6).sql"
"r000013","2018-07-20 08:42:39","create","test(7).sql"
"r000013","2018-07-20 08:42:39","create","test(5).sql"
"r000013","2018-07-20 08:42:39","create","test(2).sql"
"r000013","2018-07-20 08:42:39","create","test(3).sql"
"r000013","2018-07-20 08:42:39","create","test(4).sql"
"r000013","2018-07-20 08:42:39","create","test(8).sql"
"r000013","2018-07-20 08:42:39","create","test(1).sql"
"r000013","2018-07-20 08:42:39","revert","rtest.sql"
"r000016","2018-07-20 11:54:12","create","test(6).sql"
"r000016","2018-07-20 11:54:12","create","test(7).sql"
"r000016","2018-07-20 11:54:12","create","test(5).sql"
"r000016","2018-07-20 11:54:12","create","test(2).sql"
"r000016","2018-07-20 11:54:12","create","test(3).sql"
"r000016","2018-07-20 11:54:12","create","test(4).sql"
"r000016","2018-07-20 11:54:12","create","test(8).sql"
"r000016","2018-07-20 11:54:12","create","test(1).sql"
"r000016","2018-07-20 11:54:12","revert","rtest.sql"
"r000017","2018-07-20 11:55:39","create","test(6).sql"
"r000017","2018-07-20 11:55:39","create","test(7).sql"
"r000017","2018-07-20 11:55:39","create","test(5).sql"
"r000017","2018-07-20 11:55:39","create","test(2).sql"
"r000017","2018-07-20 11:55:39","create","test(3).sql"
"r000017","2018-07-20 11:55:39","create","test(4).sql"
"r000017","2018-07-20 11:55:39","create","test(8).sql"
"r000017","2018-07-20 11:55:39","create","test(1).sql"
"r000017","2018-07-20 11:55:39","revert","rtest.sql"
"r000018","2018-07-20 11:57:36","create","test(6).sql"
"r000018","2018-07-20 11:57:36","create","test(7).sql"
"r000018","2018-07-20 11:57:36","create","test(5).sql"
"r000018","2018-07-20 11:57:36","create","test(2).sql"
"r000018","2018-07-20 11:57:36","create","test(3).sql"
"r000018","2018-07-20 11:57:36","create","test(4).sql"
"r000018","2018-07-20 11:57:36","create","test(8).sql"
"r000018","2018-07-20 11:57:36","create","test(1).sql"
"r000018","2018-07-20 11:57:36","revert","rtest.sql"
"r000019","2018-07-20 12:07:53","create","test(6).sql"
"r000019","2018-07-20 12:07:53","create","test(7).sql"
"r000019","2018-07-20 12:07:53","create","test(5).sql"
"r000019","2018-07-20 12:07:53","create","test(2).sql"
"r000019","2018-07-20 12:07:53","create","test(3).sql"
"r000019","2018-07-20 12:07:53","create","test(4).sql"
"r000019","2018-07-20 12:07:53","create","test(8).sql"
"r000019","2018-07-20 12:07:53","create","test(1).sql"
"r000019","2018-07-20 12:07:53","revert","rtest.sql"
"r000020","2018-07-20 12:34:02","create","test(6).sql"
"r000020","2018-07-20 12:34:02","create","test(7).sql"
"r000020","2018-07-20 12:34:02","create","test(5).sql"
"r000020","2018-07-20 12:34:02","create","test(2).sql"
"r000020","2018-07-20 12:34:02","create","test(3).sql"
"r000020","2018-07-20 12:34:02","create","test(4).sql"
"r000020","2018-07-20 12:34:02","create","test(8).sql"
"r000020","2018-07-20 12:34:02","create","test(1).sql"
"r000020","2018-07-20 12:34:02","revert","rtest.sql"
"r000021","2018-07-20 12:36:47","create","test(6).sql"
"r000021","2018-07-20 12:36:47","create","test(7).sql"
"r000021","2018-07-20 12:36:47","create","test(5).sql"
"r000021","2018-07-20 12:36:47","create","test(2).sql"
"r000021","2018-07-20 12:36:47","create","test(3).sql"
"r000021","2018-07-20 12:36:47","create","test(4).sql"
"r000021","2018-07-20 12:36:47","create","test(8).sql"
"r000021","2018-07-20 12:36:47","create","test(1).sql"
"r000021","2018-07-20 12:36:47","revert","rtest.sql"
